Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Img Src,Img Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,CAMERA MOUNT,CAMERA MOUNT,SCOTTY,Parts,,,false,,,,,,,790440,,,,,manual,0.0,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,0.0,,draft
,KAYAK/SUP TRANSDUCER ARM POST,KAYAK/SUP TRANSDUCER ARM POST,SCOTTY,Parts,,,false,,,,,,,790442,,,,,manual,29.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,29.99,,draft
,KAYAK/SUP TRANSDUCER ARM,KAYAK/SUP TRANSDUCER ARM,SCOTTY,Parts,,,false,,,,,,,790443,,,,,manual,39.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,39.99,,draft
,BAIT BOARD,BAIT BOARD,SCOTTY,Parts,,,false,,,,,,,790445,,,,,manual,29.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,29.99,,draft
,ROCKET LAUNCHER W/ MOUNT,ROCKET LAUNCHER W/ MOUNT,SCOTTY,Parts,,,false,,,,,,,790447,,,,,manual,27.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,27.99,,draft
,GEAR HEAD TRACK ADAPTOR,GEAR HEAD TRACK ADAPTOR,SCOTTY,Parts,,,false,,,,,,,790449,,,,,manual,20.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,20.99,,draft
,LOCKING SIDE OR DECK MOUNT,LOCKING SIDE OR DECK MOUNT,SCOTTY,Parts,,,false,,,,,,,790450,,,,,manual,12.99,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,12.99,,draft
,LOCKING FLUSH MOUNT W/RAIN CAP,LOCKING FLUSH MOUNT W/RAIN CAP,SCOTTY,Parts,,,false,,,,,,,790451,,,,,manual,0.0,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,0.0,,draft
,BAIT CASTER W/O MOUNT,BAIT CASTER W/O MOUNT,SCOTTY,Parts,,,false,,,,,,,790452,,,,,manual,20.49,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,20.49,,draft
,EXTENDED GEAR HEAD MOUNT,EXTENDED GEAR HEAD MOUNT,SCOTTY,Parts,,,false,,,,,,,790453,,,,,manual,36.49,,,,,,,,,,,,,adult,,,,new,,,,,,,,grams,,,36.49,,draft
